Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
6,-15.7,9.6,-9.1,3.25,,,525,Late Prehistoric II,6,0-10,U,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
12,-15.1,9.2,-7.6,3.24,,,525,Late Prehistoric II,6,10,F,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
13b,-15.84,9.2,-8.4,3.27,511,28,530,Late Prehistoric II,6,10,U,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
9,-16.5,8.9,-9.1,3.24,572,26,601,Late Prehistoric II,6,10,M,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
4,-15.13,10,-8.6,3.29,617,23,602,Late Prehistoric II,6,0-10,U,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
13c,-16.54,9.1,-8.8,3.25,614,26,603,Late Prehistoric II,6,10,F,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
16b,-16.07,9.5,-8.8,3.23,585,28,603,Late Prehistoric II,6,10,M,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
16a,-15.58,9.6,-8.3,3.22,611,28,603,Late Prehistoric II,6,10,M,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
3,-18.18,7.6,-7,3.26,598,23,605,Late Prehistoric II,6,0-10,U,Coleman Site (41BX568),Inland,Ctx,28.7208567,-98.5885231,collagen and apatite,bone,Mauldin et al. 2013,
1,-13,,-6.6,,960,60,853,Late Prehistoric I,5,,M,ELCOR Cave,Inland,Ctx,30.3374209,-104.7335848,collagen and apatite,bone,Skinner 1978 in Bousman and Quigg 2006,
"Zone 1, Unit L, Analytical level 18, Lot 321",-16.46,8.66,-7.34,3.28,984,27,861,Late Prehistoric I,5,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit H, Analytical level 20, Lot 323",-16.4,8.48,-7.22,3.25,995,25,910,Late Prehistoric I,5,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone/Unit 1, Unit H, Analytical level 21, Lot 309",-17.82,8.36,-9.24,3.44,1020,25,934,Late Prehistoric I,5,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
21,-20.2,8.8,-13,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
16,-19.9,7.5,-13.5,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
23 (assumed to be 24),-19.8,7.3,-12.9,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
12,-19.7,7.4,-12.7,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
25,-19.5,7.7,-12.4,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
13,-19.4,7.9,-13,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
18,-19.2,7.6,-12.3,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
23,-19.1,8.8,-14.2,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
22,-19.1,7.9,-14.2,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
19,-18.9,8.6,-15.4,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
9,-18.8,7,-13.1,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
17,-18.7,8.4,-12,Unknown,,,965,Late Prehistoric I,5,,U,41WM230,Inland,Ctx,28.9776563,-96.9616693,collagen and apatite,bone,Huebner 1995 in Mauldin et al. 2013,
1,-17.7,7.9,-11.9,Unknown,,,980,Late Prehistoric I,5,,U,41BX952,Inland,Ctx,28.6916003,-98.6768563,collagen and apatite,bone,Cargill 1996 in Mauldin et al. 2013,
5,-12.3,,-7.6,,1230,70,1149,Late Prehistoric I,5,,M,ELCOR Cave,Inland,Ctx,30.3374209,-104.7335848,collagen and apatite,bone,Skinner 1978 in Bousman and Quigg 2006,
2,-17.9,8.8,-9.5,3.3,,,1215,Late Archaic II,4,,U,41HY163,Inland,Ctx,29.6962361,-97.8450888,collagen and apatite,bone,Munoz et al. 2011 in Mauldin et al. 2013,
1,-17.7,9.4,-10.2,3.3,,,1300,Late Archaic II,4,,U,41HY163,Inland,Ctx,29.6962361,-97.8450888,collagen and apatite,bone,Munoz et al. 2011 in Mauldin et al. 2013,
3,-17.8,9.1,-10.2,3.3,,,1305,Late Archaic II,4,,U,41HY163,Inland,Ctx,29.6962361,-97.8450888,collagen and apatite,bone,Munoz et al. 2011 in Mauldin et al. 2013,
"Zone/Unit 1, Unit J, Analytical level 19, Lot 243",-17.56,9.04,-8.19,3.23,1653,27,1538,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit H, Level 24, Lot 329",-16.05,9.53,-9.03,3.36,1726,32,1613,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit A, Level 25, Lot 297",-17.51,8.47,-9.05,3.34,1791,28,1661,Late Archaic II,4,~6 years,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1,-12.6,10.2,-8.6,,1810,70,1709,Late Archaic II,4,18-23,M,Conejo Shelter,Inland,Ctx,29.6885614,-101.532264,collagen and apatite,bone,Alexander 1974 in Bousman and Quigg 2006, Huebner 1991
"Zone/Unit 1, Unit H, Level 24, Lot 329",-17.73,9.5,-9.71,3.24,1882,30,1786,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone/Unit 1, Unit J, Level 22, Lot 312",-16.9,8.22,-8.55,3.22,1934,28,1856,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone/Unit 1, Unit L, Level 22, Lot 386",-16.96,9.93,-9.03,3.27,1983,31,1915,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone/Unit 1, Unit E, Analytical level 23, Lot 126",-16.82,9.17,-8.44,3.47,2019,30,1957,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit L (L-2), Level 22, Lot 386",-16.64,10.25,-7.9,3.23,2037,36,1977,Late Archaic II,4,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit K, Level 22, Lot 358",-16.52,8.79,-10.51,3.2,2076,40,2037,Late Archaic I,3,,F,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit D, Level 23, Lot 265",-17.28,9.54,-9.46,3.25,2140,29,2115,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-17.5,8.2,-9.9,Unknown,,,2138,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-16.7,8.1,-10.6,Unknown,,,2138,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-16.5,9.7,-9.3,Unknown,,,2138,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone 1, Unit L (L-2), Level 22, Lot 386",-16.32,10.4,-7.85,3.37,2156,33,2143,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
4,-14.6,16.6,-7.7,,,,2255,Late Archaic I,3,25-30,M,Conejo Shelter,Inland,Ctx,29.6885614,-101.532264,collagen and apatite,bone,Alexander 1974 in Bousman and Quigg 2006, Huebner 1991
1,-14.2,10.6,,,,,2255,Late Archaic I,3,Adult,M,Conejo Shelter,Inland,Ctx,29.6885614,-101.532264,collagen,muscle,Huebner 1991,
2,-13.9,12.6,-7.3,,,,2255,Late Archaic I,3,40,F,Conejo Shelter,Inland,Ctx,29.6885614,-101.532264,collagen and apatite,bone,Alexander 1974 in Bousman and Quigg 2006, Huebner 1991
3,-12.6,10.5,-7.6,,,,2255,Late Archaic I,3,30,M,Conejo Shelter,Inland,Ctx,29.6885614,-101.532264,collagen and apatite,bone,Alexander 1974 in Bousman and Quigg 2006, Huebner 1991
4,-19.3,9,-9.8,3.2,,,2650,Late Archaic I,3,14-18,F,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
10,-19.3,8.7,-9.3,3.2,,,2650,Late Archaic I,3,16-19,F,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
