Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
"Zone II, Unit E, Level 28, Lot 279",-16.12,8.91,-8.14,3.61,3862,34,4288,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-16.2,6.9,-9.8,,,,4400,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone II, Unit D, Level 30, Lot 113",-15.77,8.59,-7.67,3.49,4002,30,4476,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 27, Lot 132",-15.6,8.26,-7.83,3.65,4065,36,4552,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit L, Level 14, Lot 431 (Formerly HO 3660)",-16.64,9.65,-8.04,3.44,4102,33,4617,Middle Archaic I,1,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-16.6,8.3,-9.1,,,,4960,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-16,7.3,-9.1,,,,4960,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-15.2,7.5,-7.2,,,,4960,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
unprovenienced from backhoe dumps and Mr. Bering,-16.57,8.35,-9.17,3.53,4429,31,5020,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit J, Level 10, Analytical level III-32, Lot 349",-16.04,8.83,-8.18,3.29,4695,33,5395,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit L, Level 29, Lot 395",-16.16,8.31,-8.88,3.51,4675,32,5396,Middle Archaic I,1,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit J, Level 31, Lot 348",-15.89,8.43,-8.3,3.43,4613,36,5397,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit J, Level 31, Lot 348",-16.43,9.14,-8.5,3.44,4707,35,5404,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit J, Level 10, Analytical level III-32, Lot 349",-15.24,8.84,-8.22,3.31,4639,37,5404,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit A&D, Level 12, Analytical level III-35, Lot 115",-15.93,8.58,-6.93,3.33,4707,36,5406,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit B, Level -8, Analytical Level II-31, Lot 154",-16.27,10.14,-7.92,3.36,4612,29,5408,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 31, Lot 277?",-16.49,9.74,-10,3.49,4802,34,5522,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
unprovenienced from backhoe dumps and Mr. Bering,-16.86,9.61,-9.81,3.35,4791,36,5523,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 30, Lot 256",-16.19,9.26,-7.03,3.51,4854,32,5589,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 29, Lot 145",-16.16,9.53,-7.04,3.5,4902,31,5632,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-15.2,9,-6.9,,,,6080,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone III, Unit I (i), Level 11, Analytical level III-34, Lot 337",-14.01,9.37,-7.04,3.6,5533,32,6333,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-15.2,7.4,-8.5,,,,6360,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-14.3,8.5,-7.3,,,,6360,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone III, Unit J, Level 12, Analytical level III-35, Lot 350",-14.58,8.7,-6.95,3.27,5633,32,6410,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit E, Level 12, Analytical level III-35, Lot 181",-16.27,8.81,-8.79,3.22,5650,42,6428,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit G, Level -12, Analytical level III-35, Lot 202",-14.9,8.92,-6.74,3.46,5652,34,6430,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit C, Level 11, Analytical level III-34, Lot 184",-15.28,9.16,-8.22,3.35,5665,33,6443,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit L, Level 31, Lot 397",-15.02,8.78,-7.58,3.5,5678,33,6456,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit C, Level 10, Analytical level III-32, Lot 151",-14.76,9.24,-7.46,3.32,5699,31,6476,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit J, Level 13, Analytical level III-36, Lot 352",-14.38,9.28,-6.99,3.32,5755,33,6554,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit B, Level 71, Analytical level III-34, Lot 260",-13.82,9.86,-7.45,3.36,5755,41,6554,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit L (north), Level 18, Analytical level III-38, Lot 435",-13.98,9.56,-6.57,3.46,5768,35,6569,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit J, Level 13, Analytical level III-36, Lot 352",-13.79,9.44,-7.11,3.48,5783,46,6583,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit L (south), Level 15, Analytical level III-34/35, Lot 399",-13.68,11.38,-6.71,3.47,5808,33,6612,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit L, Level 31, Lot 397 (Formerly HO 3667)",-14.53,10.08,-7.19,3.51,5868,33,6694,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit L (north), Level 18, Analytical level III-38, Lot 435",-11.69,12.2,-4.81,3.24,5903,40,6721,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit C, Level 16, Analytical level III-39, Lot 150",-13.15,10.49,-6.19,3.37,5940,34,6763,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit A1, Level 19, Analytical level III-40, Lot 478",-14.6,10.55,-7.2,3.33,6060,36,6911,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-14.9,9.6,-7.3,,,,6915,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-13.7,8.8,-5.9,,,,6915,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone III, Unit G, Level 16, Analytical level III-39, Lot 310",-14.06,10.18,-6.17,3.55,6212,40,7093,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit F, Level 15, Analytical level III-38, Lot 170",-14.43,9.58,-6.27,3.38,6250,35,7191,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit G, Level 15, Analytical level III-38, Lot 185",-14.81,8.91,-6.9,3.33,6273,39,7208,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit G, Level 16, Analytical level III-39, Lot 310",-13.71,9.8,-6.3,3.34,6296,33,7213,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit L (south), Level 18, Analytical level III-40/41, Lot 402",-14.64,9.21,-6.74,3.64,6373,34,7296,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit E, Level 14, Analytical level III-37, Lot 195",-12.86,10.95,-6.62,3.55,6432,45,7356,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit G, Level 18, Analytical level III-40, Lot 215",-15.47,9.14,-7.24,3.42,6520,33,7430,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit A1, Level 17, Analytical level III-36, Lot 476",-13.97,9.65,-7.23,3.48,6564,33,7467,Middle Archaic I,1,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit N, Level 12, Analytical level III-37, Lot 458",-14.79,9.43,-7.71,3.43,6586,40,7483,Middle Archaic I,1,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit D, Analytical level 23, Lot 281",-16.86,8.78,-8.14,3.48,,,,,0,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 28, Lot 147",-15.37,9.51,-9.77,3.5,,,,,0,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit F, Level 13, Analytical level III-36, Lot 190",-14.82,9.44,-6.95,3.58,,,,,0,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
2,-16.1,13.9,-10.1,3.2,320,45,388,Historic,0,Old Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
2,-18.39,13.36,-11.4,3.52,373,24,443,Late Prehistoric ,5,50,U,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
59,-19.91,10.65,-8.29,3.21,504,25,527,Late Prehistoric ,5,50,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
46,-19.46,11.45,-9.7,3.3,650,24,592,Late Prehistoric ,5,35-50,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
48,-19.3,10.96,-7.32,3.32,628,23,598,Late Prehistoric ,5,50,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1 & 2 (2,-15.23,13.24,-8.56,3.28,604,23,605,Late Prehistoric ,5,,U,41HG1,Riverine,TCP,26.4294878,-98.2039096,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
46,-19.5,11.8,-8.4,3.4,,,615,Late Prehistoric ,5,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
59,-19.5,10.4,-6.6,3.4,,,615,Late Prehistoric ,5,Old Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
47,-19.4,8.7,-6.9,3.4,,,615,Late Prehistoric ,5,Young Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
51,-19.2,11,-10.8,3.4,,,615,Late Prehistoric ,5,Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
58,-19.2,10.4,-6.7,3.5,,,615,Late Prehistoric ,5,Adolescent,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
48,-18.9,10.8,-7.2,3.3,,,615,Late Prehistoric ,5,Old Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
56,-18.5,11.2,-6.4,3.3,,,615,Late Prehistoric ,5,Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
57,-18.8,10.2,-7.3,3.5,675,40,634,Late Prehistoric ,5,Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
47,-19.6,9.18,-9.94,3.37,707,27,663,Late Prehistoric ,5,25-35,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
50A,-19.1,10.32,-8.53,3.34,715,24,666,Late Prehistoric ,5,25-35,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
47,-19.6,9.18,-9.94,3.37,707,27,667,Late Prehistoric ,5,25-35,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,,Mauldin 2020 unpublished NSF data,
1 & 2 (1,-15.02,11.97,-8.04,3.28,729,24,672,Late Prehistoric ,5,,U,41HG1,Riverine,TCP,26.4294878,-98.2039096,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1 (1952),-15.34,12.72,-7.31,3.3,810,25,709,Late Prehistoric ,5,,U,41HG1,Riverine,TCP,26.4294878,-98.2039096,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
82,-18.2,9.6,-11.8,3.3,960,40,852,Late Prehistoric ,5,13-17,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
114,-17.9,10.6,-11.47,3.32,980,22,859,Late Prehistoric ,5,30-40,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
195,-18.72,10.75,-13.04,3.22,1078,24,975,Late Prehistoric ,5,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
191,-18.61,9.27,-12.96,3.43,1185,22,1106,Late Prehistoric ,5,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
84,-19.5,10.5,-7.3,3.2,,,1203,Late Archaic II,4,Old Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
167,-19.2,11.2,-11.3,3.2,,,1203,Late Archaic II,4,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
224,-19.2,10.6,-6.4,3.3,,,1203,Late Archaic II,4,Young Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
109,-19.1,10.4,-11.8,3.3,,,1203,Late Archaic II,4,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
194,-19,11.9,-8.9,3.3,,,1203,Late Archaic II,4,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
2,-18.8,10.6,-11.7,3.3,,,1203,Late Archaic II,4,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
73,-18.2,11.1,-10.8,3.3,,,1203,Late Archaic II,4,Old Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
No #,-11.3,11.3,-5.68,3.28,1317,24,1248,Late Archaic II,4,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
4 (3-1952),-13.15,12.24,-6.45,3.34,1319,26,1249,Late Archaic II,4,,U,41HG1,Riverine,TCP,26.4294878,-98.2039096,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
154,-19.1,11,-9.2,3.3,2030,35,1305,Late Archaic II,4,Adolescent,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
33,-16,10.8,-9.6,3.5,1390,40,1305,Late Archaic II,4,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
210,-17.96,9.8,-12.31,3.45,1413,28,1320,Late Archaic II,4,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
109,-19.48,9.94,-8.4,3.36,1626,26,1484,Late Archaic I,3,"25-35 (Hall), Older subadult/adult indeterminate (Dockall)",M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1,-19.38,10.9,-8.41,3.24,1633,25,1497,Late Archaic I,3,25-35,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
163,-18.11,11.66,-9.45,3.38,1705,24,1589,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
73,-18.49,10.7,-7.53,3.27,1723,26,1608,Late Archaic I,3,50,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
153,-18.15,10.49,-8.36,3.33,1764,29,1650,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
78,-20,11,-10.8,3.3,,,1758,Late Archaic I,3,Young Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
40,-19.7,11,-8.5,3.3,,,1758,Late Archaic I,3,Old Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
217,-19.5,12.1,-9.2,3.3,,,1758,Late Archaic I,3,Young Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
190,-19.5,11.2,-10.1,3.2,,,1758,Late Archaic I,3,Child,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
170,-19.5,10.8,-10.4,3.3,,,1758,Late Archaic I,3,Middle Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
61,-19.5,10.7,-9.8,3.3,,,1758,Late Archaic I,3,Middle Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
186,-19.4,11,-10.1,3.3,,,1758,Late Archaic I,3,Middle Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
173,-19.3,11.7,-8.1,3.3,,,1758,Late Archaic I,3,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
104,-19.2,11.2,-6.4,3.3,,,1758,Late Archaic I,3,Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
202,-19.2,10.4,-11,3.3,,,1758,Late Archaic I,3,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
